axis,coordinate_m,coordinate_mm,quantization_axis_x,quantization_axis_y,quantization_axis_z,total_intensity_w_per_m2,total_intensity_per_watt_path_m_inv2,scalar_shift_hz,vector_shift_hz,tensor_shift_hz,total_shift_hz,scalar_shift_hz_per_watt_path,vector_shift_hz_per_watt_path,tensor_shift_hz_per_watt_path,total_shift_hz_per_watt_path,bare_stretched_transition_frequency_hz,shifted_stretched_transition_frequency_hz,fixed_carrier_effective_detuning_hz,center_compensated_effective_detuning_hz
x,-0.0016099999999999999,-1.6099999999999999,1.0,0.0,0.0,17992.71382612892,469851.2925563567,-9545932.65793715,-4749765.867236203,4060616.2279759482,-10235082.297197402,-249276948.50981128,-124032630.85417143,106036576.90143417,-267273002.46254846,384228115000000.0,384228104764917.7,-4764917.7028025985,-21104609.13049656
x,-0.0016,-1.6,1.0,0.0,0.0,18075.732935608918,472019.20542781084,-9589977.977396805,-4717154.712269947,4030012.6059077303,-10277120.083759021,-250427122.43460986,-123181042.06880432,105237411.66573876,-268370752.83767542,384228115000000.0,384228104722879.94,-4722879.916240979,-21062571.343934942
x,-0.00159,-1.59,1.0,0.0,0.0,18159.51109455805,474206.939676831,-9634426.006263515,-4684604.702800858,3999270.395813806,-10319760.313250571,-251587812.47928107,-122331050.00148407,104434627.42272516,-269484235.05804014,384228115000000.0,384228104680239.7,-4680239.6867494285,-21019931.11444339
x,-0.00158,-1.58,1.0,0.0,0.0,18244.041245104134,476414.310998237,-9679273.000023093,-4652115.358288932,3968391.282983036,-10362997.075328985,-252758920.86175337,-121482642.1036677,103628268.18104912,-270613294.78437185,384228115000000.0,384228104637002.94,-4637002.924671015,-20976694.35236498
x,-0.00157,-1.57,1.0,0.0,0.0,18329.31606812548,478641.12826473016,-9724515.075556867,-4619686.200221152,3937377.023593329,-10406824.252184693,-253940346.18051803,-120635805.8797439,102818379.80052198,-271757772.25974005,384228115000000.0,384228104593175.75,-4593175.747815307,-20932867.17550927
x,-0.00156,-1.56,1.0,0.0,0.0,18415.32798210536,480887.1934969801,-9770148.210533973,-4587316.7520928215,3906229.445006695,-10451235.5176201,-255131983.39876,-119790528.88654536,102005009.99981532,-272917502.28549004,384228115000000.0,384228104548764.5,-4548764.4823799,-20888455.91007386
x,-0.00155,-1.55,1.0,0.0,0.0,18502.069142083557,483152.30183624633,-9816168.2428551,-4555006.539389058,3874950.4460386955,-10496224.336205464,-256333723.829832,-118946798.73286569,101188208.36349732,-274092314.1992004,384228115000000.0,384228104503775.7,-4503775.663794536,-20843467.0914885
x,-0.0015400000000000001,-1.54,1.0,0.0,0.0,18589.53143870666,485436.2415195772,-9862570.870148612,-4522755.0895663705,3843541.99720173,-10541783.962513253,-257545455.12409657,-118104603.07897826,100368026.34838586,-275282031.854689,384228115000000.0,384228104458216.06,-4458216.037486747,-20797907.46518071
x,-0.0015300000000000001,-1.53,1.0,0.0,0.0,18677.706497378946,487738.7938576377,-9909351.649320066,-4490561.932034353,3812006.140921747,-10587907.440432673,-258767061.2571626,-117263929.63615814,99544517.28920746,-276486473.60411334,384228115000000.0,384228104412092.56,-4412092.559567327,-20751783.987261288
x,-0.00152,-1.52,1.0,0.0,0.0,18766.585677515624,490059.7332152083,-9956505.996156024,-4458426.598137576,3780344.991727905,-10634587.602565689,-259998422.51953936,-116424766.16620931,98717736.40355009,-277705452.2821984,384228115000000.0,384228104365412.4,-4365412.397434311,-20705103.825128272
x,-0.00151,-1.51,1.0,0.0,0.0,18856.16007190012,492398.8269944019,-10004029.184983056,-4426348.621137515,3748560.7364146924,-10681817.069705877,-261239415.50773188,-115587100.48099263,97887740.79609664,-278938775.19262785,384228115000000.0,384228104318182.94,-4318182.930294123,-20657874.357988086
x,-0.0015,-1.5,1.0,0.0,0.0,18946.420506147064,494755.83562064025,-10051916.348382846,-4394327.536194695,3716655.634176112,-10729588.250401426,-262489913.11680153,-114750920.44195971,97054589.46212885,-280186244.0966323,384228115000000.0,384228104270411.75,-4270411.749598574,-20610103.177292537
x,-0.00149,-1.49,1.0,0.0,0.0,19037.357538272634,497130.5125314346,-10100162.476964224,-4362362.880350822,3684632.0167114455,-10777893.340603601,-263749784.53441292,-113916213.95968615,96218343.29028936,-281447655.2038097,384228115000000.0,384228104222106.7,-4222106.659396399,-20561798.087090362
x,-0.00148,-1.48,1.0,0.0,0.0,19128.96145837388,499522.6041680112,-10148762.419193046,-4330454.192511176,3652492.2883022306,-10826724.323401991,-265018895.2363914,-113082968.9934119,95379065.06459166,-282722799.1652116,384228115000000.0,384228104173275.7,-4173275.6765980087,-20512967.10429197
