axis_pair,quantization_axis,coordinate_m,coordinate_mm,scalar_shift_hz,vector_shift_hz,tensor_shift_hz,scalar_plus_tensor_shift_hz,total_shift_hz,scalar_shift_hz_per_watt_path,vector_shift_hz_per_watt_path,tensor_shift_hz_per_watt_path,total_shift_hz_per_watt_path
x,x,-0.000125,-0.125,-5449117.544764176,-350010.0395702664,5449050.517249994,-67.02751418203115,-350077.0670844484,-142295094.91675192,-9139959.157299217,142293344.5991245,-9141709.47492665
x,x,-0.00011999999999999999,-0.12,-5448917.283839811,-336001.40464210045,5448850.258788961,-67.02505084965378,-336068.4296929501,-142289865.41913024,-8774145.79020222,142288115.16582882,-8775896.043503622
x,x,-0.00011499999999999998,-0.11499999999999998,-5448725.204514986,-321993.77815117035,5448658.18182683,-67.02268815599382,-322060.80083932634,-142284849.57105336,-8408358.756850278,142283099.37945,-8410108.948453669
x,x,-0.00010999999999999996,-0.10999999999999996,-5448541.305828819,-307987.11802246235,5448474.285402732,-67.02042608708143,-308054.13844854943,-142280047.34742942,-8042596.958520886,142278297.21489638,-8044347.091053921
x,x,-0.000105,-0.10500000000000001,-5448365.586861389,-293981.3821882373,5448298.568596754,-67.01826463453472,-294048.4004528718,-142275458.72423607,-7676859.296681502,142273708.64814594,-7678609.372771619
x,x,-9.999999999999999e-05,-0.09999999999999999,-5448198.046733737,-279976.5285876859,5448131.03052995,-67.0162037871778,-280043.5447914731,-142271083.67852074,-7311144.672980553,142269333.6562464,-7312894.695254897
x,x,-9.499999999999998e-05,-0.09499999999999997,-5448038.684607841,-265972.5151666198,5447971.670364305,-67.01424353569746,-266039.5294101555,-142266922.18839976,-6945451.989239353,142265172.2173143,-6947201.960324827
x,x,-8.999999999999997e-05,-0.08999999999999997,-5447887.499686613,-251969.2998771472,5447820.487302746,-67.01238386705518,-252036.31226101425,-142262974.23305848,-6579780.147443646,142261224.3105353,-6581530.069966812
x,x,-8.499999999999995e-05,-0.08499999999999995,-5447744.491213893,-237966.84067737777,5447677.480589118,-67.0106247747317,-238033.8513021525,-142259239.79275095,-6214128.049735894,142257489.9161637,-6215877.926323143
x,x,-7.999999999999999e-05,-0.07999999999999999,-5447609.65847444,-223965.09553107992,5447542.649508191,-67.00896624848247,-224032.1044973284,-142255718.84879982,-5848494.598406327,142253969.01552236,-5850244.431683783
x,x,-7.499999999999998e-05,-0.07499999999999998,-5447483.000793924,-209964.02240738831,5447415.993385643,-67.00740828085691,-210031.02981566917,-142252411.38359597,-5482878.695885306,142250661.59100237,-5484628.4884789
x,x,-6.999999999999997e-05,-0.06999999999999997,-5447364.517538922,-195963.5792804733,5447297.5115880575,-67.00595086440444,-196030.5852313377,-142249317.3805986,-5117279.244734693,142247567.62606314,-5119028.999270159
x,x,-6.499999999999995e-05,-0.06499999999999995,-5447254.208116899,-181963.72412924282,5447187.203522911,-67.00459398794919,-182030.72872323077,-142246436.8243346,-4751695.147640063,142244687.1052318,-4753444.866742845
x,x,-5.9999999999999995e-05,-0.06,-5447152.071976224,-167964.41493698955,5447085.0686385725,-67.00333765149117,-168031.41827464104,-142243769.70039892,-4386125.307401491,142242020.01410338,-4387874.993697031
x,x,-5.499999999999998e-05,-0.05499999999999998,-5447058.108606139,-153965.60969114583,5446991.106424294,-67.00218184478581,-154032.61187299062,-142241315.99545404,-4020568.6269271555,142239566.33934057,-4022318.2830406292
x,x,-4.999999999999997e-05,-0.04999999999999997,-5446972.317536776,-139967.26638287958,5446905.316410216,-67.00112656038254,-140034.26750943996,-142239075.69723,-3655024.00922278,142237326.0686736,-3656773.637779169
x,x,-4.4999999999999955e-05,-0.04499999999999996,-5446894.698339133,-125969.34300684184,5446827.698167336,-67.00017179641873,-126036.34317863826,-142237048.79452413,-3289490.3573850472,142235299.1908999,-3291239.9610092836
x,x,-3.9999999999999996e-05,-0.039999999999999994,-5446825.250625085,-111971.79756084271,5446758.251307539,-66.9993175463751,-112038.79687838908,-142235235.2772012,-2923966.574593132,142233485.69588438,-2925716.1559099783
x,x,-3.499999999999998e-05,-0.03499999999999998,-5446763.974047374,-97974.5880455114,5446696.9754835665,-66.99856380745769,-98041.58660931885,-142233635.13619307,-2558451.5640998264,142231885.5745589,-2560201.125733972
x,x,-2.999999999999997e-05,-0.02999999999999997,-5446710.868299596,-83977.67246399634,5446643.870389023,-66.99791057314724,-84044.67037456948,-142232248.36349848,-2192944.2292237086,142230498.81892252,-2194693.7737996723
x,x,-2.4999999999999957e-05,-0.024999999999999956,-5446665.933116218,-69981.00882166997,5446598.935758375,-66.99735784344375,-70048.00617951341,-142231074.95218346,-1827443.473341432,142229325.42204115,-1829193.0034837327
x,x,-1.9999999999999944e-05,-0.019999999999999945,-5446629.168272559,-55984.55512577202,5446562.171366946,-66.99690561275929,-56051.55203138478,-142230114.8963808,-1461948.1998784123,142228365.37804782,-1463697.7182114231
x,x,-1.4999999999999985e-05,-0.014999999999999986,-5446600.57358479,-41988.26938512921,5446533.577030909,-66.99655388109386,-42055.26593901031,-142229368.1912902,-1096457.312301506,142227618.6821421,-1098206.8214496004
x,x,-9.999999999999918e-06,-0.009999999999999919,-5446580.148909932,-27992.10960982833,5446513.152607287,-66.99630264472216,-28059.105912473053,-142228834.83317786,-730969.7141104755,142227085.3305904,-732719.2166979288
x,x,-5.000000000000013e-06,-0.005000000000000013,-5446567.894145867,-13996.033810903318,5446500.897993964,-66.99615190271288,-14063.029962806031,-142228514.81937718,-365484.30882981565,142226765.3207261,-367233.80748087954
x,x,0.0,0.0,-5446563.809231322,0.0,5446496.813129666,-66.99610165599734,-66.99610165599734,-142228408.14828813,0.0,142226658.65094918,-1749.4973389503336
