axis,speed_m_per_s,pair_scalar_shift_hz,pair_vector_shift_hz,pair_tensor_shift_hz,pair_scalar_plus_tensor_shift_hz,pair_total_shift_hz
x,-8.125,-5447127.709497213,-50829.75990787428,5446689.901507735,-437.80798947811127,-51267.56789735239
x,-8.0,-5447110.32648693,-50047.71241104975,5446683.949294324,-426.37719260621816,-50474.08960365597
x,-7.875,-5447093.567422915,-49265.25212549511,5446678.21101409,-415.3564088251442,-49680.60853432026
x,-7.75,-5447076.808358898,-48482.79183993954,5446672.472733855,-404.33562504313886,-48887.12746498268
x,-7.625,-5447060.12752673,-47700.38336646091,5446666.761207619,-393.36631911154836,-48093.74968557246
x,-7.5,-5447044.435510118,-46918.62975625601,5446661.387840996,-383.04766912199557,-47301.677425378
x,-7.375,-5447028.743247239,-46136.875726055354,5446656.014389092,-372.7288581468165,-46509.60458420217
x,-7.25,-5447013.0507548805,-45355.12211214658,5446650.640857659,-362.4098972212523,-45717.53200936783
x,-7.125,-5446997.358497599,-44573.36836070847,5446645.2674076725,-352.09108992666006,-44925.45945063513
x,-7.0,-5446982.2320197765,-43791.240274733864,5446640.087915992,-342.1441037841141,-44133.38437851798
x,-6.875,-5446967.56829258,-43008.8063212689,5446635.067063533,-332.50122904684395,-43341.307550315745
x,-6.75,-5446952.904565385,-42226.3723678058,5446630.046211071,-322.85835431329906,-42549.2307221191
x,-6.625,-5446938.487487517,-41444.10147945117,5446625.109722523,-313.37776499427855,-41757.47924444545
x,-6.5,-5446924.887775867,-40662.372176076286,5446620.452804796,-304.4349710708484,-40966.807147147134
x,-6.375,-5446911.288064217,-39880.642872705124,5446615.79588707,-295.49217714741826,-40176.13504985254
x,-6.25,-5446897.688352567,-39098.91356933117,5446611.138969342,-286.54938322491944,-39385.46295255609
x,-6.125,-5446884.088640917,-38317.18426595628,5446606.482051616,-277.6065893014893,-38594.79085525777
x,-6.0,-5446871.219666602,-37534.97175788507,5446602.075603273,-269.1440633293241,-37804.11582121439
x,-5.875,-5446858.650791405,-36752.56038419437,5446597.772016436,-260.87877496890724,-37013.439159163274
x,-5.75,-5446846.081916209,-35970.14901050646,5446593.468429601,-252.61348660849035,-36222.76249711495
x,-5.625,-5446833.927261582,-35188.011932695284,5446589.306545851,-244.62071573082358,-35432.63264842611
x,-5.5,-5446822.419726791,-34406.3033942366,5446585.366037998,-237.05368879251182,-34643.357083029114
x,-5.375,-5446810.912431911,-33624.594996511936,5446581.425613249,-229.48681866191328,-33854.08181517385
x,-5.25,-5446799.405856769,-32842.88702098653,5446577.485437809,-221.9204189600423,-33064.80743994657
x,-5.125,-5446787.898561889,-32061.17862326,5446573.545013059,-214.35354883037508,-32275.532172090374
x,-5.0,-5446777.287023088,-31278.877194968052,5446569.911568746,-207.37545434199274,-31486.252649310045
x,-4.875,-5446766.81308249,-30496.48501600325,5446566.325281097,-200.487801393494,-30696.972817396745
x,-4.75,-5446756.339141892,-29714.09283703845,5446562.738993447,-193.60014844499528,-29907.692985483445
x,-4.625,-5446746.446433309,-28932.08522631228,5446559.351576416,-187.09485689364374,-29119.180083205923
x,-4.5,-5446737.031501288,-28150.39427005872,5446556.1276304955,-180.90387079212815,-28331.29814085085
x,-4.375,-5446727.616569266,-27368.703313807957,5446552.903684573,-174.7128846924752,-27543.416198500432
x,-4.25,-5446718.201876778,-26587.012498040684,5446549.679821627,-168.52205515094101,-26755.534553191625
x,-4.125,-5446708.813130858,-25805.304195110686,5446546.464847518,-162.34828334022313,-25967.65247845091
x,-4.0,-5446700.434372198,-25022.927569341846,5446543.595948875,-156.83842332288623,-25179.765992664732
x,-3.875,-5446692.05537699,-24240.5510820793,5446540.726968284,-151.32840870600194,-24391.8794907853
x,-3.75,-5446683.676621316,-23458.17473529745,5446537.858070666,-145.81855065003037,-23603.99328594748
x,-3.625,-5446676.044560941,-22676.29279773496,5446535.244696926,-140.79986401461065,-22817.09266174957
x,-3.5,-5446668.7219728455,-21894.61576349102,5446532.737226985,-135.9847458600998,-22030.60050935112
x,-3.375,-5446661.399148203,-21112.938867750578,5446530.229675092,-131.1694731116295,-21244.108340862207
x,-3.25,-5446654.076799266,-20331.261973736808,5446527.722287996,-126.35451127029955,-20457.616485007107
x,-3.125,-5446646.945205992,-19549.458258721977,5446525.280252131,-121.66495386138558,-19671.123212583363
