time_s,trapping_x_incident_beq_x_t,trapping_x_incident_beq_y_t,trapping_x_incident_beq_z_t,trapping_x_retro_beq_x_t,trapping_x_retro_beq_y_t,trapping_x_retro_beq_z_t,trapping_y_incident_beq_x_t,trapping_y_incident_beq_y_t,trapping_y_incident_beq_z_t,trapping_y_retro_beq_x_t,trapping_y_retro_beq_y_t,trapping_y_retro_beq_z_t,trapping_z_incident_beq_x_t,trapping_z_incident_beq_y_t,trapping_z_incident_beq_z_t,trapping_z_retro_beq_x_t,trapping_z_retro_beq_y_t,trapping_z_retro_beq_z_t
0.00013250000000000018,-1.378028471108371e-19,-0.0,-0.0,4.886517643586029e-74,0.0,0.0,-0.0,-4.889738877880185e-15,-0.0,0.0,6.879418678239852e-127,0.0,0.0,0.0,1.974677805404633e-06,-0.0,-0.0,-0.0
0.0001350000000000002,-1.530968400224246e-19,-0.0,-0.0,1.931551308742004e-73,0.0,0.0,-0.0,-5.1643379527962494e-15,-0.0,0.0,2.3351870031404604e-125,0.0,0.0,0.0,2.0145596422717803e-06,-0.0,-0.0,-0.0
0.0001375000000000002,-1.6984994231953854e-19,-0.0,-0.0,7.501600105899147e-73,0.0,0.0,-0.0,-5.448699827405901e-15,-0.0,0.0,7.445207830377182e-124,0.0,0.0,0.0,2.0554146325393427e-06,-0.0,-0.0,-0.0
0.0001400000000000002,-1.881743840499493e-19,-0.0,-0.0,2.8632147848355005e-72,0.0,0.0,-0.0,-5.742796810735383e-15,-0.0,0.0,2.232495778927632e-122,0.0,0.0,0.0,2.097265212179793e-06,-0.0,-0.0,-0.0
0.0001425000000000002,-2.0818833642882048e-19,-0.0,-0.0,1.074277884373275e-71,0.0,0.0,-0.0,-6.0465762047929804e-15,-0.0,0.0,6.304112636255379e-121,0.0,0.0,0.0,2.1401343305228513e-06,-0.0,-0.0,-0.0
0.00014500000000000022,-2.300159794237185e-19,-0.0,-0.0,3.9632465888271685e-71,0.0,0.0,-0.0,-6.359959492888602e-15,-0.0,0.0,1.678514468175506e-119,0.0,0.0,0.0,2.1840453540491293e-06,-0.0,-0.0,-0.0
0.00014750000000000022,-2.537875447839896e-19,-0.0,-0.0,1.4380202510188766e-70,0.0,0.0,-0.0,-6.68284158811041e-15,-0.0,0.0,4.219197928821115e-118,0.0,0.0,0.0,2.2290220768500545e-06,-0.0,-0.0,-0.0
0.00015000000000000023,-2.7963933217466197e-19,-0.0,-0.0,5.1329212637628886e-70,0.0,0.0,-0.0,-7.015090141323542e-15,-0.0,0.0,1.0024482517407768e-116,0.0,0.0,0.0,2.2750887295668363e-06,-0.0,-0.0,-0.0
0.00015250000000000024,-3.0771369588066987e-19,-0.0,-0.0,1.8028293497297735e-69,0.0,0.0,-0.0,-7.35654492151017e-15,-0.0,0.0,2.253889838402477e-115,0.0,0.0,0.0,2.3222699888195533e-06,-0.0,-0.0,-0.0
0.00015500000000000024,-3.381589996208355e-19,-0.0,-0.0,6.23215437350978e-69,0.0,0.0,-0.0,-7.707017269437394e-15,-0.0,0.0,4.801108068971936e-114,0.0,0.0,0.0,2.3705909860519688e-06,-0.0,-0.0,-0.0
