point_index,deterministic_evaluation_count,detuning_n,detuning_hz,detuning_mhz,linewidth_hz,cooling_power_w_per_beam,cooling_beam_diameter_m,restoring_slope_x_n_per_m,restoring_slope_x_coarse_n_per_m,restoring_slope_x_relative_change,restoring_slope_x_numerical_uncertainty_n_per_m,restoring_slope_x_converged,turnaround_velocity_x_m_per_s,turnaround_velocity_x_coarse_m_per_s,turnaround_velocity_x_absolute_change_m_per_s,turnaround_velocity_x_numerical_uncertainty_m_per_s,turnaround_force_x_n,turnaround_x_interior,turnaround_x_converged,restoring_slope_y_n_per_m,restoring_slope_y_coarse_n_per_m,restoring_slope_y_relative_change,restoring_slope_y_numerical_uncertainty_n_per_m,restoring_slope_y_converged,turnaround_velocity_y_m_per_s,turnaround_velocity_y_coarse_m_per_s,turnaround_velocity_y_absolute_change_m_per_s,turnaround_velocity_y_numerical_uncertainty_m_per_s,turnaround_force_y_n,turnaround_y_interior,turnaround_y_converged,restoring_slope_z_n_per_m,restoring_slope_z_coarse_n_per_m,restoring_slope_z_relative_change,restoring_slope_z_numerical_uncertainty_n_per_m,restoring_slope_z_converged,turnaround_velocity_z_m_per_s,turnaround_velocity_z_coarse_m_per_s,turnaround_velocity_z_absolute_change_m_per_s,turnaround_velocity_z_numerical_uncertainty_m_per_s,turnaround_force_z_n,turnaround_z_interior,turnaround_z_converged,all_converged,point_wall_time_s
20,1,-1.5,-9097500.0,-9.0975,6065000.0,0.027,0.0127,-6.838209403386686e-21,-6.841389624219966e-21,0.00046506631278428077,3.1802208332798424e-24,True,17.942976164711684,17.943814974439732,0.0008388097280480622,0.0008388097280480622,-1.2831599578220119e-22,True,True,-6.838209403386686e-21,-6.841389624219966e-21,0.00046506631278428077,3.1802208332798424e-24,True,17.942976164711684,17.943814974439732,0.0008388097280480622,0.0008388097280480622,-1.2831599578220119e-22,True,True,-1.3676319370257085e-20,-1.3682381273852107e-20,0.0004432408626113925,6.061903595021647e-24,True,17.942976164711684,17.943814974439732,0.0008388097280480622,0.0008388097280480622,-1.2831599578220119e-22,True,True,True,0.07861109997611493
21,1,-1.55,-9400750.0,-9.40075,6065000.0,0.027,0.0127,-7.013632506014244e-21,-7.016882500978387e-21,0.00046338255694990506,3.2499949641438506e-24,True,18.00916472613107,18.009991568410502,0.0008268422794337482,0.0008268422794337482,-1.3222823416119286e-22,True,True,-7.013632506014244e-21,-7.016882500978387e-21,0.00046338255694990506,3.2499949641438506e-24,True,18.00916472613107,18.009991568410502,0.0008268422794337482,0.0008268422794337482,-1.3222823416119286e-22,True,True,-1.4027163733174952e-20,-1.4033359655256597e-20,0.0004417088300602754,6.1959220816446334e-24,True,18.00916472613107,18.009991568410502,0.0008268422794337482,0.0008268422794337482,-1.3222823416119286e-22,True,True,True,0.07982479996280745
22,1,-1.6,-9704000.0,-9.704,6065000.0,0.027,0.0127,-7.18452194253139e-21,-7.18783872338387e-21,0.0004616564440906331,3.316780852480169e-24,True,18.07715792285139,18.077781470936575,0.0006235480851835007,0.0006235480851835007,-1.3610747654541531e-22,True,True,-7.18452194253139e-21,-7.18783872338387e-21,0.0004616564440906331,3.316780852480169e-24,True,18.07715792285139,18.077781470936575,0.0006235480851835007,0.0006235480851835007,-1.3610747654541531e-22,True,True,-1.436894087864162e-20,-1.4375265187406582e-20,0.00044013743381483757,6.3243087649624395e-24,True,18.07715792285139,18.077781470936575,0.0006235480851835007,0.0006235480851835007,-1.3610747654541531e-22,True,True,True,0.07870760001242161
23,1,-1.65,-10007250.0,-10.00725,6065000.0,0.027,0.0127,-7.350822822681163e-21,-7.354203385712298e-21,0.0004598890644873202,3.3805630311348825e-24,True,18.14744286890946,18.147739631628617,0.00029676271915590746,0.00029676271915590746,-1.3995313143254325e-22,True,True,-7.350822822681163e-21,-7.354203385712298e-21,0.0004598890644873202,3.3805630311348825e-24,True,18.14744286890946,18.147739631628617,0.00029676271915590746,0.00029676271915590746,-1.3995313143254325e-22,True,True,-1.4701541025786758e-20,-1.4707988057375056e-20,0.0004385276058469144,6.447031588298456e-24,True,18.14744286890946,18.147739631628617,0.00029676271915590746,0.00029676271915590746,-1.3995313143254325e-22,True,True,True,0.07847070001298562
24,1,-1.7,-10310500.0,-10.3105,6065000.0,0.027,0.0127,-7.51248683763302e-21,-7.515928169026698e-21,0.00045808152054773246,3.44133139367776e-24,True,18.219686610215767,18.22049981292871,0.000813202712944161,0.000813202712944161,-1.4376456143662353e-22,True,True,-7.51248683763302e-21,-7.515928169026698e-21,0.00045808152054773246,3.44133139367776e-24,True,18.219686610215767,18.22049981292871,0.000813202712944161,0.000813202712944161,-1.4376456143662353e-22,True,True,-1.5024867556320156e-20,-1.5031431624831292e-20,0.0004368802910595183,6.564068511135863e-24,True,18.219686610215767,18.22049981292871,0.000813202712944161,0.000813202712944161,-1.4376456143662353e-22,True,True,True,0.07681969995610416
25,1,-1.75,-10613750.0,-10.61375,6065000.0,0.027,0.0127,-7.669472192971199e-21,-7.672971274057455e-21,0.000456234927021909,3.4990810862567755e-24,True,18.29396539147171,18.29476561066646,0.0008002191947511506,0.0008002191947511506,-1.4754124608198646e-22,True,True,-7.669472192971199e-21,-7.672971274057455e-21,0.000456234927021909,3.4990810862567755e-24,True,18.29396539147171,18.29476561066646,0.0008002191947511506,0.0008002191947511506,-1.4754124608198646e-22,True,True,-1.5338836880590264e-20,-1.5345512287866152e-20,0.0004351964446753168,6.67540727588751e-24,True,18.29396539147171,18.29476561066646,0.0008002191947511506,0.0008002191947511506,-1.4754124608198646e-22,True,True,True,0.08060590003151447
26,1,-1.8,-10917000.0,-10.917,6065000.0,0.027,0.0127,-7.821743527248942e-21,-7.825297339600909e-21,0.0004543504066051067,3.553812351966418e-24,True,18.37045212319922,18.37050935046602,5.7227266797355014e-05,5.7227266797355014e-05,-1.5128261357947663e-22,True,True,-7.821743527248942e-21,-7.825297339600909e-21,0.0004543504066051067,3.553812351966418e-24,True,18.37045212319922,18.37050935046602,5.7227266797355014e-05,5.7227266797355014e-05,-1.5128261357947663e-22,True,True,-1.5643378274620233e-20,-1.5650159319811847e-20,0.0004334770324269108,6.781045191613986e-24,True,18.37045212319922,18.37050935046602,5.7227266797355014e-05,5.7227266797355014e-05,-1.5128261357947663e-22,True,True,True,0.08067269995808601
27,1,-1.85,-11220250.0,-11.22025,6065000.0,0.027,0.0127,-7.969271816736783e-21,-7.972877347146313e-21,0.0004524290916965516,3.605530409529151e-24,True,18.448756988980193,18.449553638245174,0.0007966492649806867,0.0007966492649806867,-1.5498818962165276e-22,True,True,-7.969271816736783e-21,-7.972877347146313e-21,0.0004524290916965516,3.605530409529151e-24,True,18.448756988980193,18.449553638245174,0.0007966492649806867,0.0007966492649806867,-1.5498818962165276e-22,True,True,-1.593843368969288e-20,-1.5945314678557002e-20,0.00043172302862936994,6.880988864122594e-24,True,18.448756988980193,18.449553638245174,0.0007966492649806867,0.0007966492649806867,-1.5498818962165276e-22,True,True,True,0.07832029997371137
28,1,-1.9,-11523500.0,-11.5235,6065000.0,0.027,0.0127,-8.112034267234746e-21,-8.115688512516897e-21,0.000450472121020345,3.654245282150956e-24,True,18.529323202977494,18.530106109666963,0.0007829066894693426,0.0007829066894693426,-1.5865753195691625e-22,True,True,-8.112034267234746e-21,-8.115688512516897e-21,0.000450472121020345,3.654245282150956e-24,True,18.529323202977494,18.530106109666963,0.0007829066894693426,0.0007829066894693426,-1.5865753195691625e-22,True,True,-1.6223957535936533e-20,-1.6230932789848973e-20,0.0004299354147710247,6.975253912440365e-24,True,18.529323202977494,18.530106109666963,0.0007829066894693426,0.0007829066894693426,-1.5865753195691625e-22,True,True,True,0.07908440002938733
29,1,-1.95,-11826750.0,-11.82675,6065000.0,0.027,0.0127,-8.250014193660346e-21,-8.253714165291412e-21,0.00044848063824060275,3.6999716310668235e-24,True,18.611864838392325,18.612026340288956,0.00016150189663122205,0.00016150189663122205,-1.622901687592394e-22,True,True,-8.250014193660346e-21,-8.253714165291412e-21,0.00044848063824060275,3.6999716310668235e-24,True,18.611864838392325,18.612026340288956,0.00016150189663122205,0.00016150189663122205,-1.622901687592394e-22,True,True,-1.649991644152078e-20,-1.6506980306207482e-20,0.0004281151793548339,7.063864686701442e-24,True,18.611864838392325,18.612026340288956,0.00016150189663122205,0.00016150189663122205,-1.622901687592394e-22,True,True,True,0.07916409999597818
