coordinate_m,force_x_n,reference_shift_x_hz,force_y_n,reference_shift_y_hz,force_z_n,reference_shift_z_hz
-0.0007999999999999999,2.067146292287327e-22,-10211290.730286412,2.067146292287327e-22,-10211290.730286412,2.0671462922873043e-22,-10211290.730286412
-0.00075,1.2733296421014414e-22,-10770363.585668337,1.2733296421014414e-22,-10770363.585668337,1.2733296421014338e-22,-10770363.585668338
-0.0006999999999999999,5.844122302317504e-23,-11314503.810299685,5.844122302317504e-23,-11314503.810299685,5.844122302317504e-23,-11314503.810299687
-0.00065,3.640029574653662e-25,-11841606.504950684,3.640029574653662e-25,-11841606.504950684,3.640029574661222e-25,-11841606.504950684
-0.0006000000000000001,-4.685066020871595e-23,-12349607.242911693,-4.68506602087167e-23,-12349607.242911693,-4.6850660208718206e-23,-12349607.242911693
-0.0005499999999999999,-8.341746700686229e-23,-12836501.276231408,-8.341746700686154e-23,-12836501.276231406,-8.341746700686304e-23,-12836501.276231406
-0.0005,-1.0978560562317427e-22,-13300362.632598711,-1.0978560562317352e-22,-13300362.63259871,-1.0978560562317352e-22,-13300362.63259871
-0.0004499999999999999,-1.2660028474789472e-22,-13739362.856578099,-1.2660028474789472e-22,-13739362.856578099,-1.2660028474789321e-22,-13739362.8565781
-0.00039999999999999996,-1.3465901981629424e-22,-14151789.147897488,-1.34659019816295e-22,-14151789.147897493,-1.3465901981629574e-22,-14151789.147897493
-0.00035000000000000005,-1.348675220101408e-22,-14536061.652656564,-1.3486752201014382e-22,-14536061.652656566,-1.3486752201014382e-22,-14536061.652656566
-0.0002999999999999999,-1.2819923957741452e-22,-14890749.670710858,-1.2819923957741452e-22,-14890749.670710858,-1.2819923957741603e-22,-14890749.670710852
-0.00025,-1.1566142533623317e-22,-15214586.554038333,-1.1566142533623317e-22,-15214586.554038333,-1.1566142533623317e-22,-15214586.554038333
-0.00019999999999999987,-9.82693398696223e-23,-15506483.086473601,-9.826933986962303e-23,-15506483.0864736,-9.826933986962153e-23,-15506483.0864736
