Wavelength (nm),Differential Scalar Polarizability,Differential Vector Polarizability,Differential Tensor Polarizability
1529.1250150144178,-2.9198372812133496e-34,-1.912804967129616e-34,1.0387517285829412e-35
1529.1250200144889,-2.919904965758425e-34,-1.9128398463647744e-34,1.0387127205799723e-35
1529.12502501456,-2.9199726536362593e-34,-1.9128747267101828e-34,1.0386737065645107e-35
1529.125030014631,-2.920040344849039e-34,-1.9129096081668628e-34,1.0386346865345947e-35
1529.125035014702,-2.9201080393970286e-34,-1.9129444907348493e-34,1.0385956604893721e-35
1529.125040014773,-2.920175737280495e-34,-1.9129793744141729e-34,1.0385566284279927e-35
1529.125045014844,-2.9202434384997017e-34,-1.913014259204869e-34,1.0385175903496018e-35
1529.125050014915,-2.9203111430472336e-34,-1.9130491451030123e-34,1.0384785462577758e-35
1529.125055014986,-2.9203788509329604e-34,-1.9130840321135828e-34,1.0384394961461277e-35
1529.125060015057,-2.9204465621609855e-34,-1.9131189202385933e-34,1.0384004400115874e-35
1529.125065015128,-2.9205142767200538e-34,-1.9131538094721398e-34,1.038361377859945e-35
1529.125070015199,-2.9205819946161906e-34,-1.9131886998172237e-34,1.0383223096870286e-35
1529.12507501527,-2.9206497158496647e-34,-1.9132235912738784e-34,1.0382832354919785e-35
1529.1250800153412,-2.92071744042074e-34,-1.9132584838421376e-34,1.0382441552739478e-35
1529.1250850154122,-2.920785168329682e-34,-1.9132933775220348e-34,1.0382050690320771e-35
1529.1250900154832,-2.920852899574835e-34,-1.9133282723126117e-34,1.0381659767666214e-35
1529.1250950155545,-2.920920634156467e-34,-1.9133631682139028e-34,1.0381268784767344e-35
1529.125100015625,-2.920988372074844e-34,-1.9133980652259405e-34,1.0380877741615497e-35
1529.1251050156964,-2.92105611333215e-34,-1.9134329633497481e-34,1.0380486638191157e-35
1529.1251100157674,-2.9211238579324952e-34,-1.9134678625873396e-34,1.0380095474463497e-35
1529.1251150158382,-2.9211916058646184e-34,-1.913502762932808e-34,1.0379704250490616e-35
1529.1251200159093,-2.921259357140314e-34,-1.913537664392125e-34,1.0379312966197328e-35
1529.1251250159803,-2.921327111754081e-34,-1.9135725669623554e-34,1.0378921621608404e-35
1529.1251300160511,-2.921394869710032e-34,-1.9136074706455107e-34,1.0378530216693075e-35
1529.1251350161224,-2.9214626310045895e-34,-1.9136423754396455e-34,1.0378138751465044e-35
1529.1251400161934,-2.9215303956360965e-34,-1.9136772813438024e-34,1.037774722592681e-35
1529.1251450162645,-2.921598163608661e-34,-1.913712188359995e-34,1.0377355640047613e-35
1529.1251500163355,-2.9216659349263966e-34,-1.9137470964902355e-34,1.0376963993796704e-35
1529.1251550164066,-2.92173370958188e-34,-1.913782005730598e-34,1.0376572287209925e-35
1529.1251600164776,-2.921801487579221e-34,-1.9138169160830952e-34,1.0376180520256548e-35
1529.1251650165486,-2.9218692689167656e-34,-1.9138518275467696e-34,1.0375788692939075e-35
1529.1251700166197,-2.921937053598623e-34,-1.913886740123637e-34,1.0375396805226744e-35
1529.1251750166905,-2.9220048416212166e-34,-1.913921653811747e-34,1.0375004857133212e-35
1529.1251800167615,-2.922072632982887e-34,-1.9139565686101436e-34,1.0374612848661051e-35
1529.1251850168326,-2.9221404276915943e-34,-1.9139914845228219e-34,1.0374220779757177e-35
1529.1251900169036,-2.9222082257437575e-34,-1.9140264015478338e-34,1.0373828650435308e-35
1529.1251950169749,-2.9222760271357985e-34,-1.9140613196832325e-34,1.0373436460709096e-35
1529.1252000170457,-2.9223438318699064e-34,-1.9140962389300395e-34,1.0373044210558836e-35
1529.1252050171167,-2.9224116399501943e-34,-1.9141311592902707e-34,1.0372651899953727e-35
1529.1252100171878,-2.9224794513730815e-34,-1.914166080761977e-34,1.0372259528907456e-35
