Wavelength (nm),Differential Scalar Polarizability,Differential Vector Polarizability,Differential Tensor Polarizability
601.3100109167576,1.7782347118174793e-38,-1.4176579719525627e-38,1.4204061939458937e-39
601.3200110000917,1.7779439769730575e-38,-1.4177260265967735e-38,1.4224211665258467e-39
601.3300110834257,1.7776529522324598e-38,-1.4177937843640042e-38,1.424438606371916e-39
601.3400111667597,1.7773616368407702e-38,-1.4178612446659146e-38,1.4264585188709787e-39
601.3500112500938,1.7770700300415784e-38,-1.417928406912197e-38,1.4284809094237862e-39
601.3600113334278,1.776778131076974e-38,-1.4179952705105713e-38,1.4305057834449642e-39
601.3700114167618,1.776485939187537e-38,-1.4180618348667782e-38,1.4325331463630899e-39
601.3800115000959,1.7761934536123447e-38,-1.4181280993845724e-38,1.4345630036207098e-39
601.3900115834299,1.7759006735889436e-38,-1.4181940634657168e-38,1.4365953606744544e-39
601.4000116667639,1.7756075983533543e-38,-1.4182597265099786e-38,1.4386302229950893e-39
601.410011750098,1.7753142271400842e-38,-1.418325087915113e-38,1.440667596067406e-39
601.420011833432,1.7750205591820942e-38,-1.4183901470768666e-38,1.4427074853904626e-39
601.4300119167659,1.7747265937108137e-38,-1.418454903388964e-38,1.4447498964775155e-39
601.4400120001,1.774432329956118e-38,-1.4185193562431089e-38,1.4467948348561774e-39
601.450012083434,1.7741377671463304e-38,-1.4185835050289676e-38,1.4488423060683508e-39
601.460012166768,1.7738429045082305e-38,-1.418647349134168e-38,1.4508923156703174e-39
601.4700122501021,1.77354774126703e-38,-1.4187108879442915e-38,1.4529448692327935e-39
601.4800123334361,1.7732522766463716e-38,-1.4187741208428666e-38,1.454999972340985e-39
601.4900124167701,1.7729565098683257e-38,-1.4188370472113575e-38,1.4570576305946758e-39
601.5000125001042,1.7726604401533929e-38,-1.418899666429167e-38,1.4591178496081396e-39
601.5100125834382,1.7723640667204712e-38,-1.4189619778736216e-38,1.4611806350104126e-39
601.5200126667722,1.7720673887868937e-38,-1.419023980919961e-38,1.4632459924450794e-39
601.5300127501063,1.7717704055683828e-38,-1.419085674941342e-38,1.4653139275705315e-39
