Wavelength (nm),Differential Scalar Polarizability,Differential Vector Polarizability,Differential Tensor Polarizability
1529.124620008807,-2.7433684740669804e-34,-1.7982707887687554e-34,9.839817413295939e-36
1529.124625008878,-2.7434319317130354e-34,-1.7983035492706267e-34,9.839455695201239e-36
1529.124630008949,-2.743495392466939e-34,-1.7983363108111303e-34,9.839093921262595e-36
1529.12463500902,-2.7435588563487345e-34,-1.798369073400518e-34,9.83873209135925e-36
1529.124640009091,-2.7436223233460736e-34,-1.7984018370323175e-34,9.838370205555053e-36
1529.124645009162,-2.743685793462801e-34,-1.798434601708418e-34,9.83800826382167e-36
1529.1246500092332,-2.743749266697366e-34,-1.7984673674279222e-34,9.837646266161354e-36
1529.1246550093042,-2.743812743053616e-34,-1.7985001341927201e-34,9.837284212545688e-36
1529.1246600093752,-2.7438762225281968e-34,-1.7985329020009844e-34,9.836922102987296e-36
1529.1246650094463,-2.743939705119558e-34,-1.7985656708518177e-34,9.836559937488558e-36
1529.124670009517,-2.744003190831545e-34,-1.798598440747109e-34,9.836197716020939e-36
1529.124675009588,-2.744066679662609e-34,-1.7986312116859618e-34,9.835835438586877e-36
1529.1246800096592,-2.744130171616596e-34,-1.7986639836702657e-34,9.835473105157829e-36
1529.1246850097302,-2.7441936666901533e-34,-1.7986967566981932e-34,9.835110715746474e-36
1529.1246900098013,-2.7442571648907344e-34,-1.7987295307734942e-34,9.83474827030375e-36
1529.1246950098723,-2.744320666207777e-34,-1.7987623058906228e-34,9.834385768883376e-36
1529.1247000099434,-2.7443841706469367e-34,-1.798795082052399e-34,9.834023211446626e-36
1529.1247050100144,-2.744447678204856e-34,-1.798827859256995e-34,9.833660598006143e-36
1529.1247100100854,-2.744511188888989e-34,-1.7988606375081614e-34,9.833297928512793e-36
1529.1247150101565,-2.744574702695983e-34,-1.7988934168040697e-34,9.832935202979292e-36
1529.1247200102275,-2.7446382196224804e-34,-1.7989261971428922e-34,9.832572421418219e-36
