x_mm,force_x_trapping_on_n,force_x_trapping_off_n,effective_field_x_trapping_on_g
-0.16999999999999993,2.229693179472567e-22,-9.844765188136658e-38,-0.3401965978006846
-0.15999999999999992,2.0984798338064604e-22,4.2170859835749564e-37,-0.32016389601626355
-0.1499999999999999,1.967276930465371e-22,2.246663578009097e-36,-0.30013503914796597
-0.1399999999999999,1.8360836795113914e-22,3.050407840383836e-36,-0.28010978632979916
-0.1299999999999999,1.704899315272675e-22,8.125604700059062e-37,-0.26008789680397193
-0.11999999999999988,1.573723095446882e-22,7.067659784319004e-37,-0.24006912991369062
-0.10999999999999988,1.4425543000772022e-22,7.229290257557068e-37,-0.22005324509590815
-0.09999999999999987,1.3113922304032868e-22,4.5991216475922e-37,-0.20004000187408702
-0.08999999999999986,1.1802362075900473e-22,1.7926288850039884e-36,-0.18002915985098555
-0.08000000000000007,1.0490855713386884e-22,4.1553725301567863e-36,-0.16002047870143374
-0.07000000000000006,9.179396783855189e-23,-4.148025690464147e-36,-0.14001371816509664
-0.06000000000000005,7.867979008965703e-23,-2.193766332222094e-36,-0.12000863803928564
-0.050000000000000044,6.556596247650206e-23,-2.2657653612099592e-36,-0.10000499817174047
-0.040000000000000036,5.245242478203989e-23,3.103305086170839e-36,-0.08000255845339785
-0.030000000000000027,3.933911779623992e-23,8.639883478543813e-37,-0.06000107881121216
-0.020000000000000018,2.6225983122771212e-23,3.313424701380323e-36,-0.04000031920094203
-0.01,1.3112962980326152e-23,4.096597812615672e-36,-0.02000003959994846
0.01,-1.3112962980326152e-23,-4.096597812615672e-36,0.02000003959994846
0.02,-2.622598312277121e-23,-3.313424701380323e-36,0.04000031920094203
0.03,-3.933911779623992e-23,-8.639883478543813e-37,0.06000107881121216
0.04,-5.245242478203989e-23,-3.103305086170839e-36,0.08000255845339785
0.05,-6.556596247650206e-23,2.2657653612099592e-36,0.10000499817174047
0.060000000000000005,-7.867979008965703e-23,2.193766332222094e-36,0.12000863803928564
0.06999999999999999,-9.179396783855189e-23,4.148025690464147e-36,0.14001371816509664
0.08,-1.0490855713386884e-22,-4.1553725301567863e-36,0.16002047870143374
0.09,-1.1802362075900473e-22,-1.7926288850039884e-36,0.18002915985098555
0.09999999999999999,-1.3113922304032868e-22,-4.5991216475922e-37,0.20004000187408702
0.11,-1.4425543000772022e-22,-7.229290257557068e-37,0.22005324509590815
0.12,-1.573723095446882e-22,-7.067659784319004e-37,0.24006912991369062
0.13,-1.704899315272675e-22,-8.125604700059062e-37,0.26008789680397193
0.14,-1.8360836795113914e-22,-3.050407840383836e-36,0.28010978632979916
0.15000000000000002,-1.9672769304654294e-22,-2.246663578009097e-36,0.3001350391479691
0.16,-2.0984798338064604e-22,-4.2170859835749564e-37,0.32016389601626355
0.17,-2.229693179472567e-22,9.844765188136658e-38,0.3401965978006846
0.18000000000000002,-2.360917782436099e-22,6.4946062882931385e-37,0.3602333854827248
0.19,-2.492154483345675e-22,1.5869173736100881e-37,0.3802745001665919
0.2,-2.6234041490411223e-22,4.6872837239038714e-37,0.40032018308650796
0.21000000000000002,-2.75466767294591e-22,-2.3789066924766043e-36,0.4203706756139266
0.22,-2.8859459753399784e-22,2.5860875718090325e-36,0.440426219264865
0.23,-3.017240003516825e-22,1.4678985705893315e-36,0.46048705570715043
0.24000000000000002,-3.148550731831588e-22,-5.530700920618863e-36,0.4805534267677413
0.25,-3.2798791616437575e-22,5.201562502388622e-37,0.5006255744399984
0.26,-3.41122632116313e-22,5.510129769479473e-37,0.5207037408910241
0.27,-3.542593265203694e-22,4.6432026857480357e-36,0.5407881684689777
0.28,-3.6739810748540003e-22,-3.7366026676763464e-36,0.560879099710403
0.29000000000000004,-3.8053908570706324e-22,-2.987225019027138e-36,0.5809767773475505
0.3,-3.9368237442016156e-22,-4.2670444934849037e-36,0.601081444315778
0.31,-4.068280893448665e-22,2.8491044328055193e-36,0.621193343760877
0.32,-4.199763486274009e-22,-3.86443767832827e-37,0.6413127190464692
